umbral,marcadas,tp,fp,fn,tn,precision,recall,f1,f2,accuracy
0.01,5988,695,5293,0,12,0.11606546426185704,1.0,0.20799042346251684,0.3963275547445255,0.11783333333333333
0.02,5963,695,5268,0,37,0.11655207110514841,1.0,0.20877140282367077,0.3974608258034999,0.122
0.03,5930,695,5235,0,70,0.11720067453625632,1.0,0.20981132075471698,0.3989667049368542,0.1275
0.04,5879,695,5184,0,121,0.11821738390882804,1.0,0.21143900212960146,0.4013165492551103,0.136
0.05,5810,695,5115,0,190,0.11962134251290878,1.0,0.21368178324365875,0.4045401629802095,0.1475
0.06,5741,695,5046,0,259,0.12105904894617663,1.0,0.21597265382224984,0.407815984039432,0.159
0.07,5678,695,4983,0,322,0.12240225431489961,1.0,0.21810764161305504,0.41085362969969264,0.1695
0.08,5595,695,4900,0,405,0.12421805183199285,1.0,0.22098569157392686,0.4149253731343283,0.18333333333333332
0.09,5513,695,4818,0,487,0.12606566297841465,1.0,0.2239046391752577,0.4190280959845653,0.197
0.1,5430,695,4735,0,570,0.1279926335174954,1.0,0.22693877551020408,0.42326431181485996,0.21083333333333334
0.11,5338,695,4643,0,662,0.13019857624578493,1.0,0.2303994695839549,0.4280610987928061,0.22616666666666665
0.12,5242,695,4547,0,758,0.13258298359404808,1.0,0.2341249789455954,0.43318374470206933,0.24216666666666667
0.13,5153,695,4458,0,847,0.13487288957888607,1.0,0.23768809849521202,0.4380436152779528,0.257
0.14,5044,695,4349,0,956,0.13778747026169708,1.0,0.24220247429865832,0.44414621676891614,0.27516666666666667
0.15,4936,695,4241,0,1064,0.14080226904376014,1.0,0.24684780678387502,0.45036288232244687,0.2931666666666667
0.16,4845,695,4150,0,1155,0.1434468524251806,1.0,0.2509025270758123,0.4557377049180328,0.30833333333333335
0.17,4721,695,4026,0,1279,0.14721457318364753,1.0,0.25664697193500735,0.4632715637914945,0.329
0.18,4631,695,3936,0,1369,0.15007557762902182,1.0,0.26098385279759667,0.4688975846714344,0.344
0.19,4523,695,3828,0,1477,0.15365907583462304,1.0,0.26638558834802606,0.4758318499246885,0.362
0.2,4434,695,3739,0,1566,0.15674334686513305,1.0,0.271007993760967,0.48170224563349046,0.37683333333333335
0.21,4339,695,3644,0,1661,0.16017515556579856,1.0,0.2761223678982916,0.48813035538699256,0.39266666666666666
0.22,4236,695,3541,0,1764,0.16406987724268177,1.0,0.2818900831474346,0.49529646522234894,0.4098333333333333
0.23,4139,695,3444,0,1861,0.16791495530321335,1.0,0.287546545304096,0.5022402081225611,0.426
0.24,4046,695,3351,0,1954,0.1717745921898171,1.0,0.29318709133094284,0.5090829182537358,0.4415
0.25,3953,695,3258,0,2047,0.17581583607386794,1.0,0.2990533562822719,0.5161146591415416,0.457
0.26,3844,695,3149,0,2156,0.18080124869927158,1.0,0.30623485349195856,0.5246074879227053,0.4751666666666667
0.27,3747,695,3052,0,2253,0.18548171870829996,1.0,0.31292210715893737,0.5324038608855522,0.49133333333333334
0.28,3656,695,2961,0,2344,0.19009846827133478,1.0,0.31946678924385197,0.5399316345556245,0.5065
0.29,3553,695,2858,0,2447,0.19560934421615536,1.0,0.3272128060263654,0.5487130901626401,0.5236666666666666
0.3,3472,695,2777,0,2528,0.20017281105990783,1.0,0.3335733141348692,0.5558221369161869,0.5371666666666667
0.31,3383,695,2688,0,2617,0.20543895950339935,1.0,0.34085335948994605,0.5638487749472659,0.552
0.32,3290,695,2595,0,2710,0.21124620060790272,1.0,0.34880803011292344,0.5724876441515651,0.5675
0.33,3214,695,2519,0,2786,0.216241443683883,1.0,0.3555896648759273,0.5797464130797464,0.5801666666666667
0.34,3131,695,2436,0,2869,0.22197381028425422,1.0,0.36330371144798745,0.5878869903569616,0.594
0.35,3053,695,2358,0,2947,0.22764493940386504,1.0,0.3708644610458911,0.595748328475913,0.607
0.36,2981,695,2286,0,3019,0.23314324052331434,1.0,0.37812840043525575,0.6031938899496615,0.619
0.37,2920,695,2225,0,3080,0.238013698630137,1.0,0.38450899031811897,0.6096491228070176,0.6291666666666667
0.38,2859,695,2164,0,3141,0.24309199020636585,1.0,0.39110861001688235,0.6162440148962582,0.6393333333333333
0.39,2791,695,2096,0,3209,0.24901469007524185,1.0,0.3987378083763626,0.623765930712619,0.6506666666666666
0.4,2724,695,2029,0,3276,0.2551395007342144,1.0,0.4065516232816613,0.631359011627907,0.6618333333333334
0.41,2652,695,1957,0,3348,0.2620663650075415,1.0,0.41529728114729614,0.6397275405007364,0.6738333333333333
0.42,2587,695,1892,0,3413,0.2686509470429068,1.0,0.42352224253503956,0.6474753120924166,0.6846666666666666
0.43,2523,695,1828,0,3477,0.275465715418153,1.0,0.43194530764449973,0.6552894587969075,0.6953333333333334
0.44,2465,695,1770,0,3535,0.281947261663286,1.0,0.439873417721519,0.6625357483317444,0.705
0.45,2409,695,1714,0,3591,0.28850145288501455,1.0,0.44780927835051554,0.669685873964155,0.7143333333333334
0.46,2343,695,1648,0,3657,0.2966282543747332,1.0,0.4575378538512179,0.6783134881905134,0.7253333333333334
0.47,2276,695,1581,0,3724,0.3053602811950791,1.0,0.46785594076068665,0.6873022151898734,0.7365
0.48,2209,695,1514,0,3791,0.31462200090538706,1.0,0.4786501377410468,0.6965323712166767,0.7476666666666667
0.49,2148,695,1453,0,3852,0.3235567970204842,1.0,0.48892015476609213,0.7051542207792207,0.7578333333333334
0.5,2092,695,1397,0,3908,0.33221797323135754,1.0,0.49874416935773236,0.7132594417077176,0.7671666666666667
0.51,2037,695,1342,0,3963,0.34118802160039274,1.0,0.5087847730600292,0.7214033630890596,0.7763333333333333
0.52,1976,695,1281,0,4024,0.3517206477732793,1.0,0.5204043429427181,0.7306560134566863,0.7865
0.53,1910,694,1216,1,4089,0.3633507853403141,0.9985611510791367,0.5328214971209213,0.7398720682302772,0.7971666666666667
0.54,1847,694,1153,1,4152,0.3757444504602057,0.9985611510791367,0.5460267505900864,0.7499459693105683,0.8076666666666666
0.55,1798,694,1104,1,4201,0.38598442714126807,0.9985611510791367,0.5567589249899719,0.7579729139362167,0.8158333333333333
0.56,1758,694,1064,1,4241,0.39476678043230945,0.9985611510791367,0.5658377496942519,0.7646540326134861,0.8225
0.57,1712,694,1018,1,4287,0.4053738317757009,0.9985611510791367,0.5766514333194849,0.7724844167408726,0.8301666666666667
0.58,1672,694,978,1,4327,0.4150717703349282,0.9985611510791367,0.5863962822137727,0.7794249775381852,0.8368333333333333
0.59,1626,694,932,1,4373,0.4268142681426814,0.9985611510791367,0.5980180956484275,0.7875624148887881,0.8445
0.6,1581,694,887,1,4418,0.4389626818469323,0.9985611510791367,0.609841827768014,0.7956890621417106,0.852
0.61,1538,692,846,3,4459,0.44993498049414826,0.99568345323741,0.619793999104344,0.8012968967114407,0.8585
0.62,1498,692,806,3,4499,0.46194926568758343,0.99568345323741,0.6310989512083902,0.8087891538101918,0.8651666666666666
0.63,1443,692,751,3,4554,0.47955647955647956,0.99568345323741,0.64733395696913,0.8193227563343596,0.8743333333333333
0.64,1406,692,714,3,4591,0.492176386913229,0.99568345323741,0.6587339362208472,0.8265647396082179,0.8805
0.65,1351,690,661,5,4644,0.5107327905255367,0.9928057553956835,0.6744868035190617,0.8351488743645605,0.889
0.66,1306,688,618,7,4687,0.5267993874425727,0.9899280575539569,0.687656171914043,0.8418991678903572,0.8958333333333334
0.67,1279,687,592,8,4713,0.5371383893666928,0.9884892086330935,0.696048632218845,0.8462675535846268,0.9
0.68,1246,686,560,9,4745,0.550561797752809,0.9870503597122302,0.7068521380731582,0.8519622454048682,0.9051666666666667
0.69,1213,686,527,9,4778,0.5655399835119538,0.9870503597122302,0.7190775681341718,0.8590032556974706,0.9106666666666666
0.7,1175,685,490,10,4815,0.5829787234042553,0.9856115107913669,0.7326203208556149,0.865992414664981,0.9166666666666666
0.71,1125,685,440,10,4865,0.6088888888888889,0.9856115107913669,0.7527472527472527,0.8770806658130601,0.925
0.72,1088,684,404,11,4901,0.6286764705882353,0.9841726618705036,0.7672462142456533,0.8841778697001035,0.9308333333333333
0.73,1057,681,376,14,4929,0.6442762535477767,0.9798561151079137,0.7773972602739727,0.887412040656763,0.935
0.74,1029,680,349,15,4956,0.6608357628765792,0.9784172661870504,0.7888631090487239,0.8926227356261487,0.9393333333333334
0.75,1007,678,329,17,4976,0.6732869910625621,0.9755395683453237,0.7967097532314923,0.8951676789015052,0.9423333333333334
0.76,984,675,309,20,4996,0.6859756097560976,0.9712230215827338,0.8040500297796308,0.8966524973432517,0.9451666666666667
0.77,958,670,288,25,5017,0.6993736951983298,0.9640287769784173,0.8106473079249849,0.8962011771000533,0.9478333333333333
0.78,929,666,263,29,5042,0.7168998923573735,0.958273381294964,0.8201970443349754,0.8978161229441899,0.9513333333333334
0.79,908,664,244,31,5061,0.7312775330396476,0.9553956834532374,0.8284466625077979,0.9002169197396964,0.9541666666666667
0.8,882,663,219,32,5086,0.7517006802721088,0.9539568345323741,0.8408370323398857,0.9052430365920262,0.9581666666666667
0.81,863,658,205,37,5100,0.7624565469293163,0.9467625899280575,0.8446726572528882,0.9031018391435629,0.9596666666666667
0.82,843,650,193,45,5112,0.7710557532621589,0.935251798561151,0.8452535760728218,0.8970466464256142,0.9603333333333334
0.83,822,642,180,53,5125,0.781021897810219,0.9237410071942446,0.846407382992749,0.8911715713492503,0.9611666666666666
