estrategia,particion,mse_test,ap_test,fraude_test
estratificado,0,0.010705272744827368,0.955407898787033,0.116
aleatorio,0,0.011307976710377303,0.9406872431968182,0.12
estratificado,1,0.010964189826729899,0.9642520448947244,0.116
aleatorio,1,0.010643019328827058,0.963996520971294,0.118
estratificado,2,0.011172500180399387,0.9484977823393174,0.116
aleatorio,2,0.01051559015991101,0.9622083285517098,0.11333333333333333
estratificado,3,0.011267225244303541,0.9517776639008144,0.116
aleatorio,3,0.010468941900948932,0.944226250406153,0.11533333333333333
estratificado,4,0.01022515403836052,0.9486512011343151,0.116
aleatorio,4,0.009768550481487172,0.9562193808443186,0.122
estratificado,5,0.011317627275720152,0.9556349994709821,0.116
aleatorio,5,0.010893135586068312,0.9449200319799472,0.114
estratificado,6,0.011150314459655359,0.946231082597785,0.116
aleatorio,6,0.010215821807598531,0.9457981774608855,0.112
estratificado,7,0.011559023431933331,0.9804795527086042,0.116
aleatorio,7,0.010426258542229993,0.9550036300847267,0.124
estratificado,8,0.011014244933076496,0.9508376089397973,0.116
aleatorio,8,0.01181671113261014,0.9588262041863204,0.11
estratificado,9,0.011594980773809141,0.9528534520889381,0.116
aleatorio,9,0.011143646609026954,0.9421730962533659,0.12466666666666666
estratificado,10,0.010536238732424241,0.9494535146653595,0.116
aleatorio,10,0.010683648895079936,0.9470994561942915,0.122
estratificado,11,0.01113962454384234,0.960459377793979,0.116
aleatorio,11,0.009918886127689182,0.9537474228293114,0.11666666666666667
estratificado,12,0.010311139123806063,0.9660912824296843,0.116
aleatorio,12,0.010485896370311809,0.9710761202652848,0.11266666666666666
estratificado,13,0.010715132089197874,0.9563003813701064,0.116
aleatorio,13,0.010270681824681499,0.9571694476296768,0.124
estratificado,14,0.011049203380321298,0.9465182347893435,0.116
aleatorio,14,0.010437015887444247,0.9636522328332014,0.11266666666666666
estratificado,15,0.010889568761603768,0.9550222345514114,0.116
aleatorio,15,0.010922959445634603,0.937579304428276,0.10333333333333333
estratificado,16,0.011515891218994354,0.9414410309698578,0.116
aleatorio,16,0.011832019171042558,0.9503784102837102,0.11066666666666666
estratificado,17,0.011399304070733304,0.9527977918030841,0.116
aleatorio,17,0.009967285407300543,0.9657165314901716,0.11066666666666666
estratificado,18,0.010824925959543086,0.9516743302512555,0.116
aleatorio,18,0.010970790678981412,0.9574013065280013,0.11733333333333333
estratificado,19,0.01109999435252242,0.949531281233753,0.116
aleatorio,19,0.011020072463849064,0.9507457219750148,0.11266666666666666
estratificado,20,0.01061955329335553,0.9509381470335717,0.116
aleatorio,20,0.010638110379479841,0.9433641725366096,0.10933333333333334
estratificado,21,0.01196289055603183,0.9496918977854899,0.116
aleatorio,21,0.010399825904227071,0.9529426788425331,0.12866666666666668
estratificado,22,0.010872400644478551,0.9591289679253099,0.116
aleatorio,22,0.01092573179601739,0.950412337456827,0.12533333333333332
estratificado,23,0.0110844897754627,0.9488111601950695,0.116
aleatorio,23,0.010815381748702882,0.9645759540975719,0.11866666666666667
estratificado,24,0.01190377397162594,0.9381573354832017,0.116
aleatorio,24,0.011961571500091944,0.9471818765017996,0.12066666666666667
estratificado,25,0.010964282551357413,0.9561872530526454,0.116
aleatorio,25,0.010753080189519707,0.9671110114644098,0.12933333333333333
estratificado,26,0.011383299238355026,0.9605810092853255,0.116
aleatorio,26,0.011462914015339389,0.9553780781622856,0.11266666666666666
estratificado,27,0.010702878747958904,0.9575521839474014,0.116
aleatorio,27,0.011078964499255927,0.9626938105622784,0.112
estratificado,28,0.011529783463138718,0.9540349297630247,0.116
aleatorio,28,0.010221017370376444,0.9610716174042649,0.12
estratificado,29,0.011501076049868204,0.9540556040717929,0.116
aleatorio,29,0.00996157186985855,0.9549536453463351,0.11533333333333333
estratificado,30,0.011303700130822556,0.9405934050442782,0.116
aleatorio,30,0.010698745267766705,0.9477075757012642,0.12266666666666666
estratificado,31,0.012181125099865136,0.9552670178992075,0.116
aleatorio,31,0.011494948149628465,0.950951708529241,0.116
estratificado,32,0.011875881057600257,0.9324643737622743,0.116
aleatorio,32,0.010620294736246295,0.9473884409199073,0.10666666666666667
estratificado,33,0.010063866472750933,0.9597073225853765,0.116
aleatorio,33,0.011124176745656944,0.941373526873191,0.11733333333333333
estratificado,34,0.010489178876248678,0.9400691690379556,0.116
aleatorio,34,0.010692314988085573,0.9575216045037236,0.12533333333333332
estratificado,35,0.010706517363752848,0.9570740967951246,0.116
aleatorio,35,0.010381109772364465,0.9597664844680517,0.118
estratificado,36,0.01092024417527051,0.9466765815087058,0.116
aleatorio,36,0.010963543695450858,0.9247588226486214,0.10933333333333334
estratificado,37,0.010680513485403852,0.9253090021444763,0.116
aleatorio,37,0.011041289138254992,0.954588775976335,0.10866666666666666
estratificado,38,0.01110819205970249,0.9613117476183303,0.116
aleatorio,38,0.010803052343451957,0.9514546038540133,0.11533333333333333
estratificado,39,0.011074684583391165,0.9460298702457979,0.116
aleatorio,39,0.010365706876799387,0.9590509385310713,0.11266666666666666
estratificado,40,0.011285508370364305,0.9466247937803469,0.116
aleatorio,40,0.010572476725104151,0.9315493544346807,0.102
estratificado,41,0.01027396565766284,0.9646170502642252,0.116
aleatorio,41,0.010105811932944709,0.9590687443464423,0.124
