umbral,marcadas,tp,fp,fn,tn,precision,recall,f1,f2,accuracy
0.01,5875,695,5180,0,125,0.11829787234042553,1.0,0.2115677321156773,0.4015020219526285,0.13666666666666666
0.02,5852,695,5157,0,148,0.11876281613123718,1.0,0.2123109821292195,0.4025718257645968,0.1405
0.03,5841,695,5146,0,159,0.11898647491867831,1.0,0.21266829865361078,0.4030854889223988,0.14233333333333334
0.04,5825,695,5130,0,175,0.11931330472103004,1.0,0.21319018404907975,0.40383497966298665,0.145
0.05,5802,695,5107,0,198,0.119786280592899,1.0,0.21394489764506694,0.4049172687019343,0.14883333333333335
0.06,5781,695,5086,0,219,0.12022141498010724,1.0,0.214638665843113,0.40591052447144027,0.15233333333333332
0.07,5753,695,5058,0,247,0.12080653572049366,1.0,0.21557071960297766,0.4072424704090004,0.157
0.08,5725,695,5030,0,275,0.12139737991266375,1.0,0.21651090342679127,0.40858318636096413,0.16166666666666665
0.09,5703,695,5008,0,297,0.12186568472733648,1.0,0.21725539231009688,0.40964281504184835,0.16533333333333333
0.1,5680,695,4985,0,320,0.12235915492957747,1.0,0.21803921568627452,0.4107565011820331,0.16916666666666666
0.11,5641,695,4946,0,359,0.12320510547775217,1.0,0.21938131313131315,0.412658829117682,0.17566666666666667
0.12,5607,695,4912,0,393,0.12395220260388799,1.0,0.22056490003173596,0.41433170382735185,0.18133333333333335
0.13,5564,695,4869,0,436,0.12491013659237958,1.0,0.22208020450551208,0.4164669223394055,0.1885
0.14,5514,695,4819,0,486,0.12604280014508523,1.0,0.22386857787083264,0.418977574149988,0.19683333333333333
0.15,5457,695,4762,0,543,0.12735935495693604,1.0,0.22594278283485045,0.42187689692849334,0.20633333333333334
0.16,5398,695,4703,0,602,0.12875138940348277,1.0,0.22813064172000655,0.42492051846417217,0.21616666666666667
0.17,5331,695,4636,0,669,0.13036953667229412,1.0,0.23066710919349484,0.4284305264455677,0.22733333333333333
0.18,5270,695,4575,0,730,0.1318785578747628,1.0,0.2330259849119866,0.43167701863354035,0.2375
0.19,5200,695,4505,0,800,0.13365384615384615,1.0,0.2357930449533503,0.43546365914786966,0.24916666666666668
0.2,5118,695,4423,0,882,0.1357952325127003,1.0,0.23911921555135043,0.4399848062800709,0.2628333333333333
0.21,5031,695,4336,0,969,0.13814351023653348,1.0,0.2427523576667831,0.44488541800025605,0.2773333333333333
0.22,4941,695,4246,0,1059,0.14065978546852864,1.0,0.24662881476224272,0.45007123429607565,0.29233333333333333
0.23,4853,695,4158,0,1147,0.14321038532866268,1.0,0.2505407354001442,0.45526005502423683,0.307
0.24,4753,695,4058,0,1247,0.14622343782873976,1.0,0.25513950073421443,0.4613035975043143,0.32366666666666666
0.25,4652,695,3957,0,1348,0.14939810834049871,1.0,0.25995885543295305,0.4675726587728741,0.3405
0.26,4541,695,3846,0,1459,0.15304998898920943,1.0,0.26546982429335375,0.4746619314301325,0.359
0.27,4439,695,3744,0,1561,0.15656679432304574,1.0,0.2707440592130892,0.4813686106108879,0.376
0.28,4305,695,3610,0,1695,0.16144018583042974,1.0,0.278,0.49047282992237123,0.3983333333333333
0.29,4189,695,3494,0,1811,0.1659107185485796,1.0,0.2846027846027846,0.4986368202037595,0.4176666666666667
0.3,4073,695,3378,0,1927,0.17063589491775105,1.0,0.2915268456375839,0.5070771924704509,0.437
0.31,3943,695,3248,0,2057,0.17626172964747655,1.0,0.29969814575247955,0.5168823441915812,0.45866666666666667
0.32,3815,695,3120,0,2185,0.182175622542595,1.0,0.30820399113082037,0.5269143290371493,0.48
0.33,3684,695,2989,0,2316,0.18865363735070576,1.0,0.31742406942224255,0.5375928217821783,0.5018333333333334
0.34,3537,695,2842,0,2463,0.19649420412779192,1.0,0.3284499054820416,0.5501028969447522,0.5263333333333333
0.35,3410,695,2715,0,2590,0.20381231671554254,1.0,0.3386114494518879,0.561389337641357,0.5475
0.36,3305,695,2610,0,2695,0.2102874432677761,1.0,0.3475,0.571076417419885,0.565
0.37,3152,695,2457,0,2848,0.220494923857868,1.0,0.36132050948791267,0.5858057990559676,0.5905
0.38,3029,695,2334,0,2971,0.22944866292505778,1.0,0.37325456498388826,0.5982096746427957,0.611
0.39,2910,695,2215,0,3090,0.23883161512027493,1.0,0.3855755894590846,0.6107205623901582,0.6308333333333334
0.4,2769,695,2074,0,3231,0.250993138317082,1.0,0.40127020785219397,0.6262389619751306,0.6543333333333333
0.41,2665,695,1970,0,3335,0.2607879924953096,1.0,0.4136904761904762,0.6382001836547292,0.6716666666666666
0.42,2559,694,1865,1,3440,0.27119968737788197,0.9985611510791367,0.42655193607867237,0.6499344446525566,0.689
0.43,2429,694,1735,1,3570,0.2857142857142857,0.9985611510791367,0.44430217669654287,0.666154732194279,0.7106666666666667
0.44,2310,694,1616,1,3689,0.30043290043290044,0.9985611510791367,0.4618968386023295,0.681728880157171,0.7305
0.45,2204,694,1510,1,3795,0.31488203266787657,0.9985611510791367,0.4787857882028285,0.6962279293739968,0.7481666666666666
0.46,2087,691,1396,4,3909,0.3310972688068999,0.9942446043165467,0.496764917325665,0.7098828847339222,0.7666666666666667
0.47,1971,689,1282,6,4023,0.3495687468290208,0.9913669064748202,0.5168792198049512,0.725110503051989,0.7853333333333333
0.48,1856,689,1167,6,4138,0.37122844827586204,0.9913669064748202,0.5401803214425716,0.7430974978429682,0.8045
0.49,1757,686,1071,9,4234,0.3904382470119522,0.9870503597122302,0.5595432300163131,0.7560061714789509,0.82
0.5,1654,683,971,12,4334,0.41293833131801694,0.9827338129496402,0.5815240527884206,0.7701849345963014,0.8361666666666666
0.51,1564,681,883,14,4422,0.4354219948849105,0.9798561151079137,0.602921646746348,0.7838397790055248,0.8505
