particion,modelo,mse,roc_auc,pr_auc
0,relu,0.02523431991858331,0.985428477314887,0.9445516971206926
0,sigmoide,0.010705272744827368,0.9924021774934554,0.955407898787033
0,lineal,0.02555597149130862,0.9861826251278584,0.9457892660817531
1,relu,0.028547175794793024,0.9934293788249163,0.9664516442085146
1,sigmoide,0.010964189826729899,0.9942312026490525,0.9642520448947244
1,lineal,0.02892589198697788,0.9937891160000694,0.9674960150671278
2,relu,0.024995552450906237,0.9864903521090134,0.940326805361707
2,sigmoide,0.011172500180399387,0.9904474610356964,0.9484977823393174
2,lineal,0.025249710225509384,0.987201158093653,0.9420070692355832
3,relu,0.025760170153762516,0.9867157296163381,0.9485984736815766
3,sigmoide,0.011267225244303541,0.9919774275758049,0.9517776639008144
3,lineal,0.026112902530384185,0.9871794871794872,0.9497648356743349
4,relu,0.02492487028046209,0.9838985107747785,0.9317991090488226
4,sigmoide,0.01022515403836052,0.9907248487370192,0.9486512011343151
4,lineal,0.025436294765466442,0.984323260692429,0.93315008317672
5,relu,0.02674561653824776,0.9893942546072364,0.9551153747719635
5,sigmoide,0.011317627275720152,0.9926925677432776,0.9556349994709821
5,lineal,0.027163469116323103,0.9898406754390527,0.9564362535757519
6,relu,0.024939603271316477,0.9896326346630606,0.9522800900698613
6,sigmoide,0.011150314459655359,0.9912536190426657,0.946231082597785
6,lineal,0.025221266250986512,0.9898536779875522,0.9532743790433861
7,relu,0.024011104919652314,0.9922201418144623,0.9732713740352148
7,sigmoide,0.011559023431933331,0.9972391255352716,0.9804795527086042
7,lineal,0.024385691026976103,0.9925928815381148,0.9740788569538614
8,relu,0.025096878557473456,0.9829666614656473,0.9370649818239514
8,sigmoide,0.011014244933076496,0.9916523638633172,0.9508376089397973
8,lineal,0.025393509338995587,0.9835561103309582,0.938513831422948
9,relu,0.02676239637399341,0.9851597579792306,0.942611532892303
9,sigmoide,0.011594980773809141,0.9918734071878088,0.9528534520889381
9,lineal,0.0271439757717766,0.9856408522737123,0.9436727118328178
10,relu,0.025967191449338733,0.9861912934935247,0.9462453386079899
10,sigmoide,0.010536238732424241,0.991262287408332,0.9494535146653595
10,lineal,0.026366897652551822,0.986429673549349,0.9472623076404987
11,relu,0.02624238300060808,0.9874438723323105,0.9485835051949689
11,sigmoide,0.01113962454384234,0.9930393023699312,0.960459377793979
11,lineal,0.026652565722884637,0.9878339487872957,0.9494976417547504
12,relu,0.02611499147458656,0.9891818796484111,0.9545587420645445
12,sigmoide,0.010311139123806063,0.9949203377195264,0.9660912824296843
12,lineal,0.02643158214862434,0.9897279866853903,0.9560623142861785
13,relu,0.026423666434535538,0.9869454413064961,0.9462268739814822
13,sigmoide,0.010715132089197874,0.992393509127789,0.9563003813701064
13,lineal,0.026796874670799147,0.9875218876233075,0.9476071215813452
14,relu,0.025254930930505206,0.9826892737643245,0.9382646609824942
14,sigmoide,0.011049203380321298,0.991570014389487,0.9465182347893435
14,lineal,0.02557522881224831,0.9833133960923007,0.9394128230491484
15,relu,0.02739978874077039,0.9904431268528632,0.9523608171075332
15,sigmoide,0.010889568761603768,0.9922981571054593,0.9550222345514114
15,lineal,0.027859600835946054,0.9906685043601879,0.9532937389908939
16,relu,0.02622253285839816,0.9891515403685789,0.9499950447740623
16,sigmoide,0.011515891218994354,0.9902220835283716,0.9414410309698578
16,lineal,0.026524888553339333,0.989849343804719,0.9516270471672855
17,relu,0.02532401807812666,0.9891342036372462,0.9572595248003438
17,sigmoide,0.011399304070733304,0.9921984709002964,0.9527977918030841
17,lineal,0.02557440203133645,0.98938558624157,0.9577480620347849
18,relu,0.02582409450819818,0.9880246528319551,0.9504617706424113
18,sigmoide,0.010824925959543086,0.9916610322289835,0.9516743302512555
18,lineal,0.026155267022696663,0.9882977063504447,0.9514430358429471
19,relu,0.02484230207910014,0.986325653161353,0.9493605402437817
19,sigmoide,0.01109999435252242,0.99105424663234,0.949531281233753
19,lineal,0.0251537485474958,0.9871058060713234,0.9511623366476261
20,relu,0.027802771775653507,0.9869974515004941,0.9446174559264529
20,sigmoide,0.01061955329335553,0.9923501672994574,0.9509381470335717
20,lineal,0.02794382999959588,0.9874525406979768,0.9457110223928432
21,relu,0.02484742020029473,0.9892208872939096,0.9572147909413835
21,sigmoide,0.01196289055603183,0.9917693867998127,0.9496918977854899
21,lineal,0.02517844186757253,0.9896196321145612,0.9582432324372314
22,relu,0.02565721676764595,0.9919210831989737,0.9600016338992826
22,sigmoide,0.010872400644478551,0.9935073941159134,0.9591289679253099
22,lineal,0.02595376544030784,0.9922851545569599,0.9612402319208726
23,relu,0.026698938026547835,0.9838941765919453,0.9341740953289314
23,sigmoide,0.0110844897754627,0.9911105910091711,0.9488111601950695
23,lineal,0.02702502387168315,0.9847263396959137,0.9362044227933081
24,relu,0.025771036664762263,0.9862563062360222,0.9356188905247201
24,sigmoide,0.01190377397162594,0.9901744075172068,0.9381573354832017
24,lineal,0.026098408722804434,0.9866333801425079,0.9369756731621355
25,relu,0.02596351492015322,0.9903347722820339,0.9519267453800775
25,sigmoide,0.010964282551357413,0.9935724068584109,0.9561872530526454
25,lineal,0.02627079533320045,0.9909415578786775,0.953910993790351
26,relu,0.02886048900404781,0.9841889010246008,0.9389943077353377
26,sigmoide,0.011383299238355026,0.9935117282987466,0.9605810092853255
26,lineal,0.029051416364121015,0.9851380870650648,0.9413191463059885
27,relu,0.023871882674037975,0.9930956467467623,0.967045724673282
27,sigmoide,0.010702878747958904,0.9936590905150743,0.9575521839474014
