experiment,target,variant,runs,best_fitness_mean,best_fitness_std,best_fitness_median,best_fitness_q1,best_fitness_q3,rmse_mean,diversity_mean,evaluations_mean,seconds_mean,run_batch
seleccion,compleja,torneo det,5,0.9133,0.0023,0.91237,0.91194,0.91435,22.11,0.00378,47934.4,25.78,20260906T213411Z
seleccion,compleja,ranking,5,0.91223,0.00247,0.91183,0.91116,0.91308,22.382,0.00607,47921.8,25.19,20260906T213411Z
seleccion,compleja,torneo prob,5,0.91018,0.00202,0.90958,0.90894,0.91125,22.903,0.00655,47927.4,26.01,20260906T213411Z
seleccion,compleja,ruleta,5,0.90865,0.00206,0.90952,0.90905,0.90963,23.295,0.00915,47921.8,28.63,20260906T213411Z
seleccion,compleja,elite,5,0.9086,0.00241,0.90814,0.90625,0.91032,23.308,0.00764,47922.2,25.5,20260906T213411Z
seleccion,compleja,boltzmann,5,0.90765,0.002,0.90673,0.90617,0.90891,23.55,0.00796,47921.8,26.62,20260906T213411Z
seleccion,compleja,universal,5,0.90744,0.00344,0.90736,0.9058,0.91089,23.603,0.0083,47926.0,29.31,20260906T213411Z
seleccion,detallada,torneo det,5,0.87814,0.00503,0.87797,0.87314,0.88263,31.074,0.00442,47934.4,25.07,20260906T213411Z
seleccion,detallada,torneo prob,5,0.87169,0.00273,0.87277,0.87167,0.87367,32.718,0.0073,47927.4,24.49,20260906T213411Z
seleccion,detallada,ranking,5,0.87082,0.00322,0.87054,0.86991,0.87336,32.942,0.00678,47921.8,24.49,20260906T213411Z
seleccion,detallada,universal,5,0.86958,0.00191,0.86906,0.86878,0.87112,33.258,0.00752,47926.0,25.09,20260906T213411Z
seleccion,detallada,boltzmann,5,0.86889,0.00209,0.86926,0.86715,0.87029,33.434,0.00954,47921.8,24.84,20260906T213411Z
seleccion,detallada,ruleta,5,0.86842,0.00176,0.86789,0.86767,0.87037,33.553,0.00974,47921.8,25.01,20260906T213411Z
seleccion,detallada,elite,5,0.86838,0.00273,0.86736,0.86681,0.86747,33.564,0.00808,47922.2,25.27,20260906T213411Z
seleccion,plana,ranking,5,0.94092,0.00226,0.94037,0.94004,0.94297,15.066,0.00817,47921.8,24.71,20260906T213411Z
seleccion,plana,torneo det,5,0.93961,0.0049,0.94167,0.93933,0.94329,15.399,0.00499,47934.4,24.15,20260906T213411Z
seleccion,plana,universal,5,0.93635,0.00539,0.93738,0.93367,0.93926,16.231,0.00786,47926.0,24.15,20260906T213411Z
seleccion,plana,boltzmann,5,0.93401,0.00374,0.93523,0.93013,0.93763,16.827,0.0096,47921.8,24.77,20260906T213411Z
seleccion,plana,elite,5,0.93353,0.00323,0.93328,0.93062,0.93375,16.949,0.0089,47922.2,23.51,20260906T213411Z
seleccion,plana,ruleta,5,0.93328,0.00312,0.93264,0.93225,0.93589,17.013,0.00972,47921.8,23.71,20260906T213411Z
seleccion,plana,torneo prob,5,0.93234,0.00295,0.93368,0.93188,0.93454,17.252,0.00908,47927.4,24.28,20260906T213411Z
