experiment,target,variant,runs,best_fitness_mean,best_fitness_std,best_fitness_median,best_fitness_q1,best_fitness_q3,rmse_mean,diversity_mean,evaluations_mean,seconds_mean,run_batch
presion,compleja,torneo M=30,5,0.91501,0.00262,0.91391,0.91304,0.9168,21.673,0.00211,47928.6,27.53,20260906T213411Z
presion,compleja,torneo M=10,5,0.91462,0.00327,0.91519,0.9146,0.91667,21.773,0.00225,47922.4,27.04,20260906T213411Z
presion,compleja,torneo M=4,5,0.9133,0.0023,0.91237,0.91194,0.91435,22.11,0.00378,47934.4,26.13,20260906T213411Z
presion,compleja,torneo M=2,5,0.91179,0.00187,0.91115,0.91073,0.91373,22.493,0.00546,47930.8,25.96,20260906T213411Z
presion,compleja,torneo prob Th=0.75,5,0.91018,0.00202,0.90958,0.90894,0.91125,22.903,0.00655,47927.4,26.16,20260906T213411Z
presion,compleja,torneo prob Th=0.95,5,0.9094,0.00287,0.90941,0.909,0.90992,23.103,0.00585,47927.4,26.27,20260906T213411Z
presion,compleja,torneo prob Th=0.55,5,0.90934,0.00263,0.90952,0.90808,0.91152,23.119,0.00873,47927.4,27.2,20260906T213411Z
presion,detallada,torneo M=10,5,0.88034,0.00295,0.87982,0.87867,0.88043,30.513,0.00286,47922.4,25.09,20260906T213411Z
presion,detallada,torneo M=30,5,0.88029,0.00604,0.88169,0.88058,0.88518,30.525,0.00227,47928.6,25.68,20260906T213411Z
presion,detallada,torneo M=4,5,0.87814,0.00503,0.87797,0.87314,0.88263,31.074,0.00442,47934.4,25.28,20260906T213411Z
presion,detallada,torneo M=2,5,0.87526,0.00285,0.87394,0.8739,0.87744,31.808,0.00701,47930.8,26.31,20260906T213411Z
presion,detallada,torneo prob Th=0.75,5,0.87169,0.00273,0.87277,0.87167,0.87367,32.718,0.0073,47927.4,25.53,20260906T213411Z
presion,detallada,torneo prob Th=0.95,5,0.86953,0.00412,0.86877,0.86727,0.87099,33.269,0.00713,47927.4,25.02,20260906T213411Z
presion,detallada,torneo prob Th=0.55,5,0.86836,0.00218,0.86842,0.86602,0.87026,33.567,0.00826,47927.4,25.54,20260906T213411Z
presion,plana,torneo M=30,5,0.95577,0.0031,0.95696,0.95414,0.95789,11.279,0.00292,47928.6,24.13,20260906T213411Z
presion,plana,torneo M=10,5,0.95088,0.00728,0.95239,0.95066,0.95353,12.525,0.00334,47922.4,25.22,20260906T213411Z
presion,plana,torneo M=4,5,0.93961,0.0049,0.94167,0.93933,0.94329,15.399,0.00499,47934.4,25.05,20260906T213411Z
presion,plana,torneo M=2,5,0.93926,0.00377,0.93964,0.93677,0.94005,15.488,0.00681,47930.8,24.83,20260906T213411Z
presion,plana,torneo prob Th=0.95,5,0.93763,0.00501,0.93964,0.93262,0.94002,15.905,0.00803,47927.4,27.3,20260906T213411Z
presion,plana,torneo prob Th=0.55,5,0.93575,0.00609,0.93806,0.9331,0.93881,16.383,0.00974,47927.4,24.52,20260906T213411Z
presion,plana,torneo prob Th=0.75,5,0.93234,0.00295,0.93368,0.93188,0.93454,17.252,0.00908,47927.4,25.87,20260906T213411Z
