experiment,target,variant,runs,best_fitness_mean,best_fitness_std,best_fitness_median,best_fitness_q1,best_fitness_q3,rmse_mean,diversity_mean,evaluations_mean,seconds_mean,run_batch
supervivencia,compleja,aditiva K=2N,5,0.91592,0.00173,0.91553,0.9154,0.91673,21.44,0.00254,95801.8,46.32,20260906T213411Z
supervivencia,compleja,exclusiva K=2N,5,0.91535,0.0019,0.91503,0.91357,0.91672,21.586,0.00796,95801.8,46.91,20260906T213411Z
supervivencia,compleja,aditiva K=N,5,0.9133,0.0023,0.91237,0.91194,0.91435,22.11,0.00378,47934.4,23.67,20260906T213411Z
supervivencia,compleja,exclusiva K=N,5,0.90857,0.00253,0.90836,0.90769,0.90874,23.315,0.01246,47934.4,23.44,20260906T213411Z
supervivencia,compleja,exclusiva K=N/2,5,0.90821,0.00253,0.90886,0.9056,0.9108,23.408,0.00551,23991.0,11.88,20260906T213411Z
supervivencia,compleja,aditiva K=N/2,5,0.90725,0.00243,0.90782,0.90731,0.90836,23.652,0.00527,23991.0,12.21,20260906T213411Z
supervivencia,detallada,exclusiva K=2N,5,0.8844,0.00335,0.88246,0.88222,0.88467,29.479,0.00864,95801.8,47.1,20260906T213411Z
supervivencia,detallada,aditiva K=2N,5,0.88309,0.00469,0.88488,0.88095,0.8869,29.813,0.00316,95801.8,47.53,20260906T213411Z
supervivencia,detallada,aditiva K=N,5,0.87814,0.00503,0.87797,0.87314,0.88263,31.074,0.00442,47934.4,27.49,20260906T213411Z
supervivencia,detallada,exclusiva K=N,5,0.87077,0.00203,0.87108,0.86996,0.87174,32.955,0.01318,47934.4,23.41,20260906T213411Z
supervivencia,detallada,exclusiva K=N/2,5,0.86635,0.00444,0.86613,0.86295,0.86896,34.082,0.00559,23991.0,11.82,20260906T213411Z
supervivencia,detallada,aditiva K=N/2,5,0.86586,0.00522,0.86768,0.86529,0.86818,34.207,0.00585,23991.0,15.02,20260906T213411Z
supervivencia,plana,exclusiva K=2N,5,0.9567,0.00188,0.95619,0.95526,0.95734,11.041,0.00958,95801.8,54.49,20260906T213411Z
supervivencia,plana,aditiva K=2N,5,0.95338,0.00372,0.95287,0.95029,0.95379,11.887,0.00439,95801.8,49.86,20260906T213411Z
supervivencia,plana,exclusiva K=N,5,0.94163,0.00833,0.94093,0.93577,0.94466,14.884,0.01482,47934.4,25.77,20260906T213411Z
supervivencia,plana,aditiva K=N,5,0.93961,0.0049,0.94167,0.93933,0.94329,15.399,0.00499,47934.4,25.2,20260906T213411Z
supervivencia,plana,aditiva K=N/2,5,0.93075,0.00439,0.93026,0.92802,0.93232,17.659,0.00651,23991.0,13.25,20260906T213411Z
supervivencia,plana,exclusiva K=N/2,5,0.92863,0.00385,0.9271,0.92659,0.92864,18.199,0.00722,23991.0,13.17,20260906T213411Z
