experiment,target,variant,runs,best_fitness_mean,best_fitness_std,best_fitness_median,best_fitness_q1,best_fitness_q3,rmse_mean,diversity_mean,evaluations_mean,seconds_mean,run_batch
cruza,compleja,uniforme,5,0.91435,0.00144,0.91504,0.91412,0.91545,21.841,0.00403,47931.2,23.79,20260906T213411Z
cruza,compleja,un punto,5,0.9133,0.0023,0.91237,0.91194,0.91435,22.11,0.00378,47934.4,23.47,20260906T213411Z
cruza,compleja,dos puntos,5,0.91303,0.00226,0.91383,0.91131,0.91438,22.178,0.00454,47926.6,23.99,20260906T213411Z
cruza,compleja,espacial,5,0.91165,0.00338,0.91168,0.91056,0.91241,22.528,0.00404,47926.6,24.54,20260906T213411Z
cruza,compleja,anular,5,0.9115,0.00354,0.91096,0.90829,0.9128,22.568,0.00381,47926.8,24.29,20260906T213411Z
cruza,detallada,un punto,5,0.87814,0.00503,0.87797,0.87314,0.88263,31.074,0.00442,47934.4,23.52,20260906T213411Z
cruza,detallada,uniforme,5,0.87735,0.00392,0.87609,0.87598,0.8814,31.275,0.0052,47931.2,23.91,20260906T213411Z
cruza,detallada,anular,5,0.87668,0.00325,0.8753,0.87429,0.87896,31.447,0.0043,47926.8,24.1,20260906T213411Z
cruza,detallada,espacial,5,0.87521,0.00226,0.87385,0.87367,0.87598,31.82,0.00487,47926.6,23.81,20260906T213411Z
cruza,detallada,dos puntos,5,0.87371,0.00481,0.87371,0.87054,0.87477,32.203,0.00485,47926.6,23.89,20260906T213411Z
cruza,plana,uniforme,5,0.95391,0.00606,0.95322,0.95143,0.95654,11.753,0.00547,47931.2,23.16,20260906T213411Z
cruza,plana,anular,5,0.94633,0.00419,0.94541,0.9426,0.94967,13.686,0.0058,47926.8,22.75,20260906T213411Z
cruza,plana,dos puntos,5,0.94593,0.00449,0.94861,0.94329,0.94967,13.788,0.00491,47926.6,22.97,20260906T213411Z
cruza,plana,espacial,5,0.94259,0.0067,0.94478,0.93516,0.94773,14.64,0.00535,47926.6,22.86,20260906T213411Z
cruza,plana,un punto,5,0.93961,0.0049,0.94167,0.93933,0.94329,15.399,0.00499,47934.4,22.99,20260906T213411Z
