experiment,target,variant,runs,best_fitness_mean,best_fitness_std,best_fitness_median,best_fitness_q1,best_fitness_q3,rmse_mean,diversity_mean,evaluations_mean,seconds_mean,run_batch
tasa_cruza,compleja,pc=0.50,5,0.91346,0.00151,0.91289,0.91262,0.91372,22.068,0.00399,47616.4,23.12,20260906T213411Z
tasa_cruza,compleja,pc=0.85,5,0.9133,0.0023,0.91237,0.91194,0.91435,22.11,0.00378,47934.4,23.51,20260906T213411Z
tasa_cruza,compleja,pc=1.00,5,0.91203,0.00241,0.91308,0.91033,0.91405,22.431,0.00423,48060.0,23.75,20260906T213411Z
tasa_cruza,compleja,pc=0.25,5,0.91021,0.00229,0.91039,0.90999,0.91123,22.897,0.00366,47394.0,23.18,20260906T213411Z
tasa_cruza,compleja,pc=0.00 (solo mutacion),5,0.90847,0.00286,0.90988,0.90566,0.91026,23.339,0.0037,47184.0,22.45,20260906T213411Z
tasa_cruza,detallada,pc=0.85,5,0.87814,0.00503,0.87797,0.87314,0.88263,31.074,0.00442,47934.4,23.58,20260906T213411Z
tasa_cruza,detallada,pc=1.00,5,0.87541,0.00134,0.87523,0.87436,0.87634,31.77,0.00493,48060.0,24.01,20260906T213411Z
tasa_cruza,detallada,pc=0.50,5,0.87287,0.00417,0.87436,0.87183,0.87562,32.419,0.00511,47616.4,23.47,20260906T213411Z
tasa_cruza,detallada,pc=0.25,5,0.87249,0.00562,0.8695,0.86921,0.87401,32.515,0.00451,47394.0,23.16,20260906T213411Z
tasa_cruza,detallada,pc=0.00 (solo mutacion),5,0.86449,0.00284,0.86447,0.86314,0.86505,34.555,0.00514,47184.0,23.02,20260906T213411Z
tasa_cruza,plana,pc=1.00,5,0.9506,0.00479,0.95078,0.94658,0.95252,12.598,0.00522,48060.0,22.89,20260906T213411Z
tasa_cruza,plana,pc=0.50,5,0.94028,0.00387,0.93838,0.9382,0.93907,15.228,0.0052,47616.4,22.96,20260906T213411Z
tasa_cruza,plana,pc=0.85,5,0.93961,0.0049,0.94167,0.93933,0.94329,15.399,0.00499,47934.4,22.9,20260906T213411Z
tasa_cruza,plana,pc=0.25,5,0.93741,0.00513,0.9379,0.93531,0.94124,15.96,0.0046,47394.0,22.52,20260906T213411Z
tasa_cruza,plana,pc=0.00 (solo mutacion),5,0.93192,0.00357,0.93087,0.92918,0.93243,17.36,0.00479,47184.0,21.97,20260906T213411Z
