experiment,target,variant,runs,best_fitness_mean,best_fitness_std,best_fitness_median,best_fitness_q1,best_fitness_q3,rmse_mean,diversity_mean,evaluations_mean,seconds_mean,run_batch
mutacion,compleja,gen (carga 1),5,0.91445,0.00283,0.91333,0.91212,0.91739,21.815,0.00217,48060.0,23.94,20260906T213411Z
mutacion,compleja,uniforme (carga 4),5,0.9133,0.0023,0.91237,0.91194,0.91435,22.11,0.00378,47934.4,23.45,20260906T213411Z
mutacion,compleja,multigen M=8 (carga 4),5,0.91222,0.00328,0.91226,0.91166,0.91271,22.384,0.00601,48033.6,23.94,20260906T213411Z
mutacion,compleja,no uniforme (carga 4 -> 0.4),5,0.90866,0.0024,0.90817,0.9077,0.90994,23.291,9e-05,46397.4,23.01,20260906T213411Z
mutacion,detallada,uniforme (carga 4),5,0.87814,0.00503,0.87797,0.87314,0.88263,31.074,0.00442,47934.4,23.36,20260906T213411Z
mutacion,detallada,multigen M=8 (carga 4),5,0.87578,0.00458,0.87539,0.87464,0.87856,31.677,0.00596,48033.6,23.76,20260906T213411Z
mutacion,detallada,gen (carga 1),5,0.87347,0.00238,0.87434,0.8742,0.87489,32.265,0.00233,48060.0,23.45,20260906T213411Z
mutacion,detallada,no uniforme (carga 4 -> 0.4),5,0.86695,0.00297,0.86706,0.86571,0.86905,33.929,0.00011,46397.4,23.01,20260906T213411Z
mutacion,plana,gen (carga 1),5,0.94373,0.00385,0.94508,0.94259,0.94634,14.35,0.00226,48060.0,22.7,20260906T213411Z
mutacion,plana,multigen M=8 (carga 4),5,0.94086,0.00364,0.94041,0.94008,0.94129,15.082,0.00563,48033.6,23.36,20260906T213411Z
mutacion,plana,uniforme (carga 4),5,0.93961,0.0049,0.94167,0.93933,0.94329,15.399,0.00499,47934.4,23.23,20260906T213411Z
mutacion,plana,no uniforme (carga 4 -> 0.4),5,0.92584,0.00404,0.92399,0.92345,0.92966,18.911,8e-05,46397.4,22.52,20260906T213411Z
