experiment,target,variant,runs,best_fitness_mean,best_fitness_std,best_fitness_median,best_fitness_q1,best_fitness_q3,rmse_mean,diversity_mean,evaluations_mean,seconds_mean,run_batch
tasa_mutacion,compleja,carga 2,5,0.91426,0.00239,0.91334,0.91324,0.91568,21.863,0.00255,47087.6,23.61,20260906T213411Z
tasa_mutacion,compleja,carga 4,5,0.9133,0.0023,0.91237,0.91194,0.91435,22.11,0.00378,47934.4,24.2,20260906T213411Z
tasa_mutacion,compleja,carga 10,5,0.90947,0.00233,0.90967,0.90769,0.91152,23.084,0.01068,48059.8,24.15,20260906T213411Z
tasa_mutacion,compleja,carga 0.5,5,0.9053,0.0021,0.90557,0.90527,0.90564,24.148,0.00107,43719.0,21.63,20260906T213411Z
tasa_mutacion,compleja,carga 25,5,0.90437,0.00213,0.90334,0.90286,0.90685,24.387,0.0259,48060.0,24.06,20260906T213411Z
tasa_mutacion,compleja,carga 50,5,0.89208,0.00209,0.89145,0.8913,0.89178,27.519,0.04523,48060.0,24.3,20260906T213411Z
tasa_mutacion,detallada,carga 4,5,0.87814,0.00503,0.87797,0.87314,0.88263,31.074,0.00442,47934.4,23.53,20260906T213411Z
tasa_mutacion,detallada,carga 2,5,0.87387,0.00379,0.8731,0.87072,0.87662,32.164,0.00231,47087.6,23.15,20260906T213411Z
tasa_mutacion,detallada,carga 10,5,0.8709,0.00205,0.8704,0.86927,0.87145,32.919,0.01267,48059.8,23.48,20260906T213411Z
tasa_mutacion,detallada,carga 0.5,5,0.86893,0.00393,0.86914,0.86903,0.86919,33.423,0.00094,43719.0,21.3,20260906T213411Z
tasa_mutacion,detallada,carga 25,5,0.85636,0.00627,0.85333,0.85182,0.86224,36.629,0.02556,48060.0,24.38,20260906T213411Z
tasa_mutacion,detallada,carga 50,5,0.8444,0.00071,0.84438,0.84409,0.84512,39.677,0.04709,48060.0,24.27,20260906T213411Z
tasa_mutacion,plana,carga 2,5,0.94618,0.00329,0.94708,0.94312,0.94935,13.724,0.00287,47087.6,22.49,20260906T213411Z
tasa_mutacion,plana,carga 10,5,0.93963,0.00493,0.94095,0.93943,0.94263,15.394,0.01122,48059.8,23.33,20260906T213411Z
tasa_mutacion,plana,carga 4,5,0.93961,0.0049,0.94167,0.93933,0.94329,15.399,0.00499,47934.4,22.88,20260906T213411Z
tasa_mutacion,plana,carga 0.5,5,0.92762,0.00361,0.92906,0.92478,0.93071,18.456,0.0013,43719.0,20.82,20260906T213411Z
tasa_mutacion,plana,carga 25,5,0.91892,0.00588,0.92262,0.91288,0.92387,20.676,0.02976,48060.0,23.3,20260906T213411Z
tasa_mutacion,plana,carga 50,5,0.89504,0.00618,0.89624,0.89021,0.8984,26.765,0.04859,48060.0,23.68,20260906T213411Z
