experiment,target,variant,runs,best_fitness_mean,best_fitness_std,best_fitness_median,best_fitness_q1,best_fitness_q3,rmse_mean,diversity_mean,evaluations_mean,seconds_mean,run_batch
sigma,compleja,sigma=0.10,5,0.9133,0.0023,0.91237,0.91194,0.91435,22.11,0.00378,47934.4,23.54,20260906T213411Z
sigma,compleja,sigma=0.20,5,0.91251,0.00171,0.91316,0.9122,0.91365,22.31,0.00495,47934.4,23.71,20260906T213411Z
sigma,compleja,sigma=0.40,5,0.9108,0.00175,0.91018,0.90956,0.91183,22.746,0.00911,47934.4,24.81,20260906T213411Z
sigma,compleja,sigma=0.05,5,0.90804,0.00534,0.90885,0.90609,0.90933,23.449,0.00256,47934.4,23.65,20260906T213411Z
sigma,compleja,sigma=0.02,5,0.89702,0.00721,0.89995,0.89455,0.90268,26.259,0.00174,47934.4,23.45,20260906T213411Z
sigma,detallada,sigma=0.10,5,0.87814,0.00503,0.87797,0.87314,0.88263,31.074,0.00442,47934.4,23.79,20260906T213411Z
sigma,detallada,sigma=0.20,5,0.87488,0.00282,0.87428,0.87421,0.87435,31.907,0.00595,47934.4,23.64,20260906T213411Z
sigma,detallada,sigma=0.05,5,0.87238,0.00515,0.87137,0.87083,0.87719,32.543,0.00265,47934.4,23.5,20260906T213411Z
sigma,detallada,sigma=0.40,5,0.86526,0.00397,0.86282,0.862,0.86947,34.359,0.01048,47934.4,24.77,20260906T213411Z
sigma,detallada,sigma=0.02,5,0.85221,0.00687,0.8536,0.84966,0.85524,37.686,0.00148,47934.4,23.57,20260906T213411Z
sigma,plana,sigma=0.20,5,0.95029,0.00318,0.9515,0.94948,0.95159,12.676,0.00727,47934.4,23.97,20260906T213411Z
sigma,plana,sigma=0.40,5,0.94127,0.004,0.93976,0.93915,0.94541,14.977,0.01099,47934.4,24.0,20260906T213411Z
sigma,plana,sigma=0.10,5,0.93961,0.0049,0.94167,0.93933,0.94329,15.399,0.00499,47934.4,23.17,20260906T213411Z
sigma,plana,sigma=0.05,5,0.93221,0.00733,0.9295,0.92617,0.94,17.286,0.00307,47934.4,23.06,20260906T213411Z
sigma,plana,sigma=0.02,5,0.8995,0.00404,0.90048,0.89693,0.9005,25.626,0.00165,47934.4,22.85,20260906T213411Z
