experiment,target,variant,runs,best_fitness_mean,best_fitness_std,best_fitness_median,best_fitness_q1,best_fitness_q3,rmse_mean,diversity_mean,evaluations_mean,seconds_mean,run_batch
poblacion,compleja,N=K=120,5,0.91367,0.00707,0.91713,0.91587,0.91786,22.014,0.00557,95858.8,46.81,20260906T213411Z
poblacion,compleja,N=K=60,5,0.9133,0.0023,0.91237,0.91194,0.91435,22.11,0.00378,47934.4,23.59,20260906T213411Z
poblacion,compleja,N=K=30,5,0.91042,0.00298,0.90954,0.9086,0.91324,22.842,0.00326,23965.6,11.91,20260906T213411Z
poblacion,compleja,N=K=15,5,0.90639,0.00275,0.90491,0.90438,0.90728,23.871,0.00181,11981.2,6.02,20260906T213411Z
poblacion,detallada,N=K=120,5,0.88332,0.00479,0.88137,0.88004,0.88466,29.753,0.00614,95858.8,47.35,20260906T213411Z
poblacion,detallada,N=K=60,5,0.87814,0.00503,0.87797,0.87314,0.88263,31.074,0.00442,47934.4,23.75,20260906T213411Z
poblacion,detallada,N=K=30,5,0.87304,0.00341,0.87139,0.87072,0.87379,32.375,0.00341,23965.6,12.03,20260906T213411Z
poblacion,detallada,N=K=15,5,0.86423,0.00418,0.86353,0.86046,0.86496,34.622,0.00152,11981.2,6.07,20260906T213411Z
poblacion,plana,N=K=120,5,0.94898,0.00247,0.94884,0.94715,0.94892,13.009,0.00771,95858.8,45.55,20260906T213411Z
poblacion,plana,N=K=60,5,0.93961,0.0049,0.94167,0.93933,0.94329,15.399,0.00499,47934.4,23.05,20260906T213411Z
poblacion,plana,N=K=30,5,0.93654,0.01141,0.93864,0.92991,0.94296,16.182,0.00342,23965.6,11.45,20260906T213411Z
poblacion,plana,N=K=15,5,0.93235,0.00877,0.93163,0.92881,0.93164,17.252,0.00204,11981.2,5.97,20260906T213411Z
