configuracion,target,seed,fitness,segundos
base,plana,1,0.9435041266198129,21.87
base,plana,2,0.9393289623018075,22.72
base,plana,3,0.9416745303296981,21.52
base,plana,4,0.9302689527438104,21.85
base,plana,5,0.943288761200613,23.13
base,detallada,1,0.8721297382991097,22.61
base,detallada,2,0.8826331109991126,23.23
base,detallada,3,0.8848455881657376,21.37
base,detallada,4,0.8731385298822288,23.59
base,detallada,5,0.8779670742606044,24.74
base,compleja,1,0.9119360492877105,24.19
base,compleja,2,0.9105943857914243,23.6
base,compleja,3,0.9143526844104151,25.02
base,compleja,4,0.917225177499006,24.52
base,compleja,5,0.912369377198527,24.68
compuesta (mejor de cada eje),plana,1,0.9726091289671873,43.94
compuesta (mejor de cada eje),plana,2,0.9709086721287169,44.47
compuesta (mejor de cada eje),plana,3,0.9746879407867435,44.33
compuesta (mejor de cada eje),plana,4,0.9719056539600622,45.07
compuesta (mejor de cada eje),plana,5,0.9680203603838696,44.87
compuesta (mejor de cada eje),detallada,1,0.8861494874052418,44.69
compuesta (mejor de cada eje),detallada,2,0.8805611526088283,43.75
compuesta (mejor de cada eje),detallada,3,0.8910614289311812,45.08
compuesta (mejor de cada eje),detallada,4,0.892811084118532,43.38
compuesta (mejor de cada eje),detallada,5,0.8912033677638039,43.09
compuesta (mejor de cada eje),compleja,1,0.9212285602740486,43.92
compuesta (mejor de cada eje),compleja,2,0.9209328381513302,44.56
compuesta (mejor de cada eje),compleja,3,0.9207018967241666,43.29
compuesta (mejor de cada eje),compleja,4,0.9201840895188895,44.24
compuesta (mejor de cada eje),compleja,5,0.9180238924551765,43.37
inversa (peor de cada eje),plana,1,0.6632887444633908,6.4
inversa (peor de cada eje),plana,2,0.6634898813603143,6.51
inversa (peor de cada eje),plana,3,0.6831568230936911,5.78
inversa (peor de cada eje),plana,4,0.6770868330918527,6.07
inversa (peor de cada eje),plana,5,0.6576792675481347,5.88
inversa (peor de cada eje),detallada,1,0.661137285136795,6.06
inversa (peor de cada eje),detallada,2,0.6585950498668625,5.94
inversa (peor de cada eje),detallada,3,0.6389213459674083,5.64
inversa (peor de cada eje),detallada,4,0.6635999667530335,5.59
inversa (peor de cada eje),detallada,5,0.6552814904670906,5.87
inversa (peor de cada eje),compleja,1,0.5951364586986044,5.43
inversa (peor de cada eje),compleja,2,0.5948308696869519,5.6
inversa (peor de cada eje),compleja,3,0.6122050321327966,5.57
inversa (peor de cada eje),compleja,4,0.6327931829754427,5.48
inversa (peor de cada eje),compleja,5,0.6094594274156839,5.49
base + seleccion,plana,1,0.9435041266198129,22.61
base + seleccion,plana,2,0.9393289623018075,22.57
base + seleccion,plana,3,0.9416745303296981,22.72
base + seleccion,plana,4,0.9302689527438104,23.49
base + seleccion,plana,5,0.943288761200613,23.71
base + seleccion,detallada,1,0.8721297382991097,22.62
base + seleccion,detallada,2,0.8826331109991126,23.6
base + seleccion,detallada,3,0.8848455881657376,22.68
base + seleccion,detallada,4,0.8731385298822288,23.32
base + seleccion,detallada,5,0.8779670742606044,23.63
base + seleccion,compleja,1,0.9119360492877105,23.55
base + seleccion,compleja,2,0.9105943857914243,23.21
base + seleccion,compleja,3,0.9143526844104151,23.84
base + seleccion,compleja,4,0.917225177499006,22.99
base + seleccion,compleja,5,0.912369377198527,23.8
base + supervivencia,plana,1,0.9547145167587807,45.22
base + supervivencia,plana,2,0.955262585608065,44.07
base + supervivencia,plana,3,0.956187625705106,44.19
base + supervivencia,plana,4,0.9600098181423449,45.62
base + supervivencia,plana,5,0.9573374199512561,45.85
base + supervivencia,detallada,1,0.8822186978713538,45.69
base + supervivencia,detallada,2,0.890794182126778,45.95
base + supervivencia,detallada,3,0.8824574947157116,46.31
base + supervivencia,detallada,4,0.8846741665618862,47.73
base + supervivencia,detallada,5,0.8818359193581061,47.99
base + supervivencia,compleja,1,0.9182332842162658,47.16
base + supervivencia,compleja,2,0.9150268851974381,48.7
base + supervivencia,compleja,3,0.9131985023677299,49.11
base + supervivencia,compleja,4,0.9167171904597203,46.99
base + supervivencia,compleja,5,0.9135739570287141,47.89
base + cruza,plana,1,0.951428531811085,23.41
base + cruza,plana,2,0.944957183671788,23.56
base + cruza,plana,3,0.9633985959293854,22.76
base + cruza,plana,4,0.9532180320008197,22.79
base + cruza,plana,5,0.9565442028946274,23.81
base + cruza,detallada,1,0.8760863357455451,23.51
base + cruza,detallada,2,0.8759791761584711,23.91
base + cruza,detallada,3,0.8819386687387694,22.46
base + cruza,detallada,4,0.8814012590952394,23.14
base + cruza,detallada,5,0.871357176434584,23.47
base + cruza,compleja,1,0.9116377005158471,22.75
base + cruza,compleja,2,0.9154972702199278,24.06
base + cruza,compleja,3,0.9141188916863212,23.37
base + cruza,compleja,4,0.9154494536068685,23.85
