variant,triangles,regimen,seed,target,generation,best_fitness,best_global_fitness,mean_fitness,std_fitness,diversity,stalled,structure_stable,share_unchanged,evaluations,elapsed
800 tri · pm fijo,800,pm fijo,1,compleja,1,0.6345161748390393,0.6345161748390393,0.6265103923555211,0.0030317310431634418,0.017420601307626227,0,0,0.0,160,0.3932977499207482
800 tri · pm fijo,800,pm fijo,1,compleja,2,0.6471073388368851,0.6471073388368851,0.6338199262202986,0.004507903616956734,0.019398508418622357,0,0,0.0,240,0.9266459998907521
800 tri · pm fijo,800,pm fijo,1,compleja,3,0.6570286522840048,0.6570286522840048,0.6434988564471206,0.00527309139506563,0.021325552122300744,0,0,0.0,320,1.3302667919779196
800 tri · pm fijo,800,pm fijo,1,compleja,4,0.6705407481990289,0.6705407481990289,0.6534739412143165,0.007126530350036396,0.022251874005336843,0,0,0.0,400,1.7137492089532316
800 tri · pm fijo,800,pm fijo,1,compleja,5,0.6829720239530492,0.6829720239530492,0.6652379685911023,0.008223859095240192,0.023476485404490835,0,0,0.0,480,2.108107499894686
800 tri · pm fijo,800,pm fijo,1,compleja,6,0.6976930400227572,0.6976930400227572,0.677473082073079,0.00755759949881314,0.024189515639016897,0,0,0.0,560,2.435343874967657
800 tri · pm fijo,800,pm fijo,1,compleja,7,0.7049696227619715,0.7049696227619715,0.6877087119809968,0.007501916448281413,0.024882272447655254,0,0,0.0,640,2.8623335419688374
800 tri · pm fijo,800,pm fijo,1,compleja,8,0.712801450726899,0.712801450726899,0.698264110649543,0.007349493917202948,0.02565676857061853,0,0,0.0,720,3.2493776669725776
800 tri · pm fijo,800,pm fijo,1,compleja,9,0.7231561690015349,0.7231561690015349,0.7074125649550712,0.006874037003934906,0.025561930395229564,0,0,0.0,800,3.6450170419411734
800 tri · pm fijo,800,pm fijo,1,compleja,10,0.7333404407547697,0.7333404407547697,0.7173934065808576,0.006591530587512401,0.02628826365520794,0,0,0.0,880,4.0626652089413255
800 tri · pm fijo,800,pm fijo,1,compleja,11,0.7420303363730858,0.7420303363730858,0.726947621548798,0.007304492264283849,0.026439083959950933,0,0,0.0,960,4.445922999992035
800 tri · pm fijo,800,pm fijo,1,compleja,12,0.75058729648133,0.75058729648133,0.736155144284979,0.0075470138203210975,0.026779340094984748,0,0,0.0,1040,4.83169249992352
800 tri · pm fijo,800,pm fijo,1,compleja,13,0.7658351248875039,0.7658351248875039,0.7455077800643529,0.007555997253816089,0.02716079581573903,0,0,0.0,1120,5.233718458912335
800 tri · pm fijo,800,pm fijo,1,compleja,14,0.7777013590288395,0.7777013590288395,0.753555915336582,0.007777929175517534,0.027745068259668396,0,0,0.0,1200,5.657665041973814
800 tri · pm fijo,800,pm fijo,1,compleja,15,0.7801496003080397,0.7801496003080397,0.7638863428194929,0.007515906663604789,0.028447904512952777,0,0,0.0,1280,6.059808416990563
800 tri · pm fijo,800,pm fijo,1,compleja,16,0.787193215314596,0.787193215314596,0.7703118191246506,0.008198944903719082,0.028086904133118748,0,0,0.0,1360,6.477060458972119
800 tri · pm fijo,800,pm fijo,1,compleja,17,0.7932584468582385,0.7932584468582385,0.7784087442882763,0.005986143863010556,0.028166095195374302,0,0,0.0,1440,6.911556624923833
800 tri · pm fijo,800,pm fijo,1,compleja,18,0.7977209402617433,0.7977209402617433,0.7838404638401719,0.005250972108839246,0.028199467229698513,0,0,0.0,1520,7.381934458971955
800 tri · pm fijo,800,pm fijo,1,compleja,19,0.8033406331212787,0.8033406331212787,0.7889825413425353,0.005118421605764932,0.028726473702573266,0,0,0.0,1600,7.796177749987692
800 tri · pm fijo,800,pm fijo,1,compleja,20,0.8083413505724235,0.8083413505724235,0.7941901474178378,0.006383641616140466,0.02924835725763731,0,0,0.0,1680,8.268026583944447
800 tri · pm fijo,800,pm fijo,1,compleja,21,0.813715381779291,0.813715381779291,0.8002863171334524,0.005985210527056757,0.029669239294164353,0,0,0.0,1760,8.667565708979964
800 tri · pm fijo,800,pm fijo,1,compleja,22,0.8176456120218469,0.8176456120218469,0.8059259713866517,0.005116654231394248,0.029234789348561746,0,0,0.0,1840,9.091566833900288
800 tri · pm fijo,800,pm fijo,1,compleja,23,0.8267377521186624,0.8267377521186624,0.8111289628925136,0.005661619007691044,0.029967467961156687,0,0,0.0,1920,9.580202874960378
800 tri · pm fijo,800,pm fijo,1,compleja,24,0.8325321204376968,0.8325321204376968,0.816381130005244,0.006044835487025112,0.030467435526727843,0,0,0.0,2000,10.031456791912206
800 tri · pm fijo,800,pm fijo,1,compleja,25,0.8338915415565642,0.8338915415565642,0.8220981161672025,0.005600377505184779,0.030255302689589356,0,0,0.0,2080,10.465336999972351
