experiment,target,variant,runs,best_fitness_mean,best_fitness_std,best_fitness_median,best_fitness_q1,best_fitness_q3,rmse_mean,diversity_mean,evaluations_mean,seconds_mean,run_batch
seleccion_combinada,compleja,torneo det (puro),5,0.9133,0.0023,0.91237,0.91194,0.91435,22.11,0.00378,47934.4,25.05,20260906T233756Z
seleccion_combinada,compleja,25% elite + 75% torneo,5,0.91306,0.00194,0.9128,0.91207,0.91384,22.169,0.0043,47921.0,24.26,20260906T233756Z
seleccion_combinada,compleja,50% elite + 50% torneo,5,0.91245,0.00133,0.91234,0.91219,0.91256,22.324,0.00389,47933.4,24.42,20260906T233756Z
seleccion_combinada,compleja,50% torneo + 50% ruleta,5,0.91171,0.00166,0.91091,0.91014,0.91363,22.513,0.00505,47935.8,21.85,20260906T233756Z
seleccion_combinada,compleja,50% elite + 50% ruleta,5,0.91067,0.00196,0.91151,0.90978,0.91193,22.778,0.00578,47925.2,23.88,20260906T233756Z
seleccion_combinada,compleja,ruleta (pura),5,0.90865,0.00206,0.90952,0.90905,0.90963,23.295,0.00915,47921.8,23.99,20260906T233756Z
seleccion_combinada,compleja,elite (puro),5,0.9086,0.00241,0.90814,0.90625,0.91032,23.308,0.00764,47922.2,24.11,20260906T233756Z
seleccion_combinada,detallada,torneo det (puro),5,0.87814,0.00503,0.87797,0.87314,0.88263,31.074,0.00442,47934.4,24.32,20260906T233756Z
seleccion_combinada,detallada,25% elite + 75% torneo,5,0.87632,0.00255,0.87625,0.87442,0.87734,31.538,0.00491,47921.0,23.62,20260906T233756Z
seleccion_combinada,detallada,50% elite + 50% torneo,5,0.87501,0.0036,0.8742,0.87276,0.87666,31.872,0.00417,47933.4,24.33,20260906T233756Z
seleccion_combinada,detallada,50% torneo + 50% ruleta,5,0.87458,0.00347,0.87548,0.87506,0.87612,31.981,0.00528,47935.8,24.73,20260906T233756Z
seleccion_combinada,detallada,50% elite + 50% ruleta,5,0.87192,0.00348,0.87321,0.87215,0.87368,32.66,0.00676,47925.2,24.12,20260906T233756Z
seleccion_combinada,detallada,ruleta (pura),5,0.86842,0.00176,0.86789,0.86767,0.87037,33.553,0.00974,47921.8,23.86,20260906T233756Z
seleccion_combinada,detallada,elite (puro),5,0.86838,0.00273,0.86736,0.86681,0.86747,33.564,0.00808,47922.2,24.05,20260906T233756Z
seleccion_combinada,plana,25% elite + 75% torneo,5,0.9502,0.00339,0.95074,0.94686,0.95111,12.699,0.0056,47921.0,25.74,20260906T233756Z
seleccion_combinada,plana,50% elite + 50% torneo,5,0.94335,0.00592,0.9443,0.94176,0.94757,14.446,0.0063,47933.4,27.0,20260906T233756Z
seleccion_combinada,plana,50% torneo + 50% ruleta,5,0.94212,0.00244,0.94248,0.93963,0.94265,14.759,0.00686,47935.8,25.3,20260906T233756Z
seleccion_combinada,plana,50% elite + 50% ruleta,5,0.9403,0.00079,0.94037,0.93983,0.94102,15.224,0.00734,47925.2,27.95,20260906T233756Z
seleccion_combinada,plana,torneo det (puro),5,0.93961,0.0049,0.94167,0.93933,0.94329,15.399,0.00499,47934.4,23.55,20260906T233756Z
seleccion_combinada,plana,elite (puro),5,0.93353,0.00323,0.93328,0.93062,0.93375,16.949,0.0089,47922.2,23.19,20260906T233756Z
seleccion_combinada,plana,ruleta (pura),5,0.93328,0.00312,0.93264,0.93225,0.93589,17.013,0.00972,47921.8,22.63,20260906T233756Z
