experiment,target,variant,runs,best_fitness_mean,best_fitness_std,best_fitness_median,best_fitness_q1,best_fitness_q3,rmse_mean,diversity_mean,evaluations_mean,seconds_mean,run_batch
cruza,compleja,uniforme,5,0.91435,0.00144,0.91504,0.91412,0.91545,21.841,0.00403,47931.2,23.79,20260906T213411Z
cruza,compleja,un punto,5,0.9133,0.0023,0.91237,0.91194,0.91435,22.11,0.00378,47934.4,23.47,20260906T213411Z
cruza,compleja,dos puntos,5,0.91303,0.00226,0.91383,0.91131,0.91438,22.178,0.00454,47926.6,23.99,20260906T213411Z
cruza,compleja,espacial,5,0.91165,0.00338,0.91168,0.91056,0.91241,22.528,0.00404,47926.6,24.54,20260906T213411Z
cruza,compleja,anular,5,0.9115,0.00354,0.91096,0.90829,0.9128,22.568,0.00381,47926.8,24.29,20260906T213411Z
cruza,detallada,un punto,5,0.87814,0.00503,0.87797,0.87314,0.88263,31.074,0.00442,47934.4,23.52,20260906T213411Z
cruza,detallada,uniforme,5,0.87735,0.00392,0.87609,0.87598,0.8814,31.275,0.0052,47931.2,23.91,20260906T213411Z
cruza,detallada,anular,5,0.87668,0.00325,0.8753,0.87429,0.87896,31.447,0.0043,47926.8,24.1,20260906T213411Z
cruza,detallada,espacial,5,0.87521,0.00226,0.87385,0.87367,0.87598,31.82,0.00487,47926.6,23.81,20260906T213411Z
cruza,detallada,dos puntos,5,0.87371,0.00481,0.87371,0.87054,0.87477,32.203,0.00485,47926.6,23.89,20260906T213411Z
cruza,plana,uniforme,5,0.95391,0.00606,0.95322,0.95143,0.95654,11.753,0.00547,47931.2,23.16,20260906T213411Z
cruza,plana,anular,5,0.94633,0.00419,0.94541,0.9426,0.94967,13.686,0.0058,47926.8,22.75,20260906T213411Z
cruza,plana,dos puntos,5,0.94593,0.00449,0.94861,0.94329,0.94967,13.788,0.00491,47926.6,22.97,20260906T213411Z
cruza,plana,espacial,5,0.94259,0.0067,0.94478,0.93516,0.94773,14.64,0.00535,47926.6,22.86,20260906T213411Z
cruza,plana,un punto,5,0.93961,0.0049,0.94167,0.93933,0.94329,15.399,0.00499,47934.4,22.99,20260906T213411Z
granularidad,compleja,corte por triangulo,5,0.91511,0.00196,0.91431,0.91362,0.91679,21.646,0.00387,47925.4,23.51,20260906T213411Z
granularidad,compleja,corte por componente,5,0.91435,0.00144,0.91504,0.91412,0.91545,21.841,0.00403,47931.2,23.98,20260906T213411Z
granularidad,detallada,corte por triangulo,5,0.88017,0.0021,0.87998,0.87949,0.88014,30.556,0.00494,47925.4,23.65,20260906T213411Z
granularidad,detallada,corte por componente,5,0.87735,0.00392,0.87609,0.87598,0.8814,31.275,0.0052,47931.2,23.81,20260906T213411Z
granularidad,plana,corte por componente,5,0.95391,0.00606,0.95322,0.95143,0.95654,11.753,0.00547,47931.2,23.61,20260906T213411Z
granularidad,plana,corte por triangulo,5,0.95073,0.00661,0.95132,0.94737,0.95726,12.564,0.00491,47925.4,23.18,20260906T213411Z
inicializacion,compleja,grilla informada,5,0.91796,0.0009,0.91797,0.91733,0.91801,20.92,0.00227,47937.6,19.42,20260906T213411Z
inicializacion,compleja,al azar,5,0.9133,0.0023,0.91237,0.91194,0.91435,22.11,0.00378,47934.4,26.02,20260906T213411Z
inicializacion,detallada,grilla informada,5,0.88423,0.00371,0.88428,0.88226,0.88513,29.521,0.00321,47937.6,30.35,20260906T213411Z
inicializacion,detallada,al azar,5,0.87814,0.00503,0.87797,0.87314,0.88263,31.074,0.00442,47934.4,29.11,20260906T213411Z
inicializacion,plana,grilla informada,5,0.96585,0.00299,0.96473,0.96364,0.96626,8.708,0.00323,47937.6,20.37,20260906T213411Z
inicializacion,plana,al azar,5,0.93961,0.0049,0.94167,0.93933,0.94329,15.399,0.00499,47934.4,22.5,20260906T213411Z
mutacion,compleja,gen (carga 1),5,0.91445,0.00283,0.91333,0.91212,0.91739,21.815,0.00217,48060.0,23.94,20260906T213411Z
mutacion,compleja,uniforme (carga 4),5,0.9133,0.0023,0.91237,0.91194,0.91435,22.11,0.00378,47934.4,23.45,20260906T213411Z
mutacion,compleja,multigen M=8 (carga 4),5,0.91222,0.00328,0.91226,0.91166,0.91271,22.384,0.00601,48033.6,23.94,20260906T213411Z
mutacion,compleja,no uniforme (carga 4 -> 0.4),5,0.90866,0.0024,0.90817,0.9077,0.90994,23.291,9e-05,46397.4,23.01,20260906T213411Z
mutacion,detallada,uniforme (carga 4),5,0.87814,0.00503,0.87797,0.87314,0.88263,31.074,0.00442,47934.4,23.36,20260906T213411Z
mutacion,detallada,multigen M=8 (carga 4),5,0.87578,0.00458,0.87539,0.87464,0.87856,31.677,0.00596,48033.6,23.76,20260906T213411Z
mutacion,detallada,gen (carga 1),5,0.87347,0.00238,0.87434,0.8742,0.87489,32.265,0.00233,48060.0,23.45,20260906T213411Z
mutacion,detallada,no uniforme (carga 4 -> 0.4),5,0.86695,0.00297,0.86706,0.86571,0.86905,33.929,0.00011,46397.4,23.01,20260906T213411Z
mutacion,plana,gen (carga 1),5,0.94373,0.00385,0.94508,0.94259,0.94634,14.35,0.00226,48060.0,22.7,20260906T213411Z
mutacion,plana,multigen M=8 (carga 4),5,0.94086,0.00364,0.94041,0.94008,0.94129,15.082,0.00563,48033.6,23.36,20260906T213411Z
mutacion,plana,uniforme (carga 4),5,0.93961,0.0049,0.94167,0.93933,0.94329,15.399,0.00499,47934.4,23.23,20260906T213411Z
mutacion,plana,no uniforme (carga 4 -> 0.4),5,0.92584,0.00404,0.92399,0.92345,0.92966,18.911,8e-05,46397.4,22.52,20260906T213411Z
poblacion,compleja,N=K=120,5,0.91367,0.00707,0.91713,0.91587,0.91786,22.014,0.00557,95858.8,46.81,20260906T213411Z
poblacion,compleja,N=K=60,5,0.9133,0.0023,0.91237,0.91194,0.91435,22.11,0.00378,47934.4,23.59,20260906T213411Z
poblacion,compleja,N=K=30,5,0.91042,0.00298,0.90954,0.9086,0.91324,22.842,0.00326,23965.6,11.91,20260906T213411Z
poblacion,compleja,N=K=15,5,0.90639,0.00275,0.90491,0.90438,0.90728,23.871,0.00181,11981.2,6.02,20260906T213411Z
poblacion,detallada,N=K=120,5,0.88332,0.00479,0.88137,0.88004,0.88466,29.753,0.00614,95858.8,47.35,20260906T213411Z
poblacion,detallada,N=K=60,5,0.87814,0.00503,0.87797,0.87314,0.88263,31.074,0.00442,47934.4,23.75,20260906T213411Z
poblacion,detallada,N=K=30,5,0.87304,0.00341,0.87139,0.87072,0.87379,32.375,0.00341,23965.6,12.03,20260906T213411Z
poblacion,detallada,N=K=15,5,0.86423,0.00418,0.86353,0.86046,0.86496,34.622,0.00152,11981.2,6.07,20260906T213411Z
poblacion,plana,N=K=120,5,0.94898,0.00247,0.94884,0.94715,0.94892,13.009,0.00771,95858.8,45.55,20260906T213411Z
poblacion,plana,N=K=60,5,0.93961,0.0049,0.94167,0.93933,0.94329,15.399,0.00499,47934.4,23.05,20260906T213411Z
poblacion,plana,N=K=30,5,0.93654,0.01141,0.93864,0.92991,0.94296,16.182,0.00342,23965.6,11.45,20260906T213411Z
poblacion,plana,N=K=15,5,0.93235,0.00877,0.93163,0.92881,0.93164,17.252,0.00204,11981.2,5.97,20260906T213411Z
presion,compleja,torneo M=30,5,0.91501,0.00262,0.91391,0.91304,0.9168,21.673,0.00211,47928.6,27.53,20260906T213411Z
presion,compleja,torneo M=10,5,0.91462,0.00327,0.91519,0.9146,0.91667,21.773,0.00225,47922.4,27.04,20260906T213411Z
presion,compleja,torneo M=4,5,0.9133,0.0023,0.91237,0.91194,0.91435,22.11,0.00378,47934.4,26.13,20260906T213411Z
presion,compleja,torneo M=2,5,0.91179,0.00187,0.91115,0.91073,0.91373,22.493,0.00546,47930.8,25.96,20260906T213411Z
presion,compleja,torneo prob Th=0.75,5,0.91018,0.00202,0.90958,0.90894,0.91125,22.903,0.00655,47927.4,26.16,20260906T213411Z
presion,compleja,torneo prob Th=0.95,5,0.9094,0.00287,0.90941,0.909,0.90992,23.103,0.00585,47927.4,26.27,20260906T213411Z
presion,compleja,torneo prob Th=0.55,5,0.90934,0.00263,0.90952,0.90808,0.91152,23.119,0.00873,47927.4,27.2,20260906T213411Z
presion,detallada,torneo M=10,5,0.88034,0.00295,0.87982,0.87867,0.88043,30.513,0.00286,47922.4,25.09,20260906T213411Z
presion,detallada,torneo M=30,5,0.88029,0.00604,0.88169,0.88058,0.88518,30.525,0.00227,47928.6,25.68,20260906T213411Z
presion,detallada,torneo M=4,5,0.87814,0.00503,0.87797,0.87314,0.88263,31.074,0.00442,47934.4,25.28,20260906T213411Z
presion,detallada,torneo M=2,5,0.87526,0.00285,0.87394,0.8739,0.87744,31.808,0.00701,47930.8,26.31,20260906T213411Z
presion,detallada,torneo prob Th=0.75,5,0.87169,0.00273,0.87277,0.87167,0.87367,32.718,0.0073,47927.4,25.53,20260906T213411Z
